CONTEXT, ACTION, DATE
MAIN, help, 2022-05-03
MAIN, batches, 2022-05-03
BATCHES, help, 2022-05-03
MAIN, batches, 2022-05-03
BATCHES, add, 2022-05-03
BATCHES, add, 2022-05-03
BATCHES, help, 2022-05-03
BATCHES, add, 2022-05-03
BATCHES, add, 2022-05-03
BATCHES, add, 2022-05-03
BATCHES, get-all, 2022-05-03
MAIN, help, 2022-05-03
MAIN, batches, 2022-05-03
BATCHES, get-all, 2022-05-03
BATCHES, get-prices, 2022-05-03
BATCHES, get-total-prices, 2022-05-03
MAIN, batches, 2022-05-03
BATCHES, get-total-prices, 2022-05-03
BATCHES, get-prices, 2022-05-03
BATCHES, get-prices, 2022-05-03
BATCHES, help, 2022-05-03
BATCHES, get-all-exp, 2022-05-03
MAIN, batches, 2022-05-03
BATCHES, get-all, 2022-05-03
BATCHES, get-all-exp, 2022-05-03
BATCHES, exit, 2022-05-03
MAIN, help, 2022-05-03
MAIN, batches, 2022-05-03
BATCHES, get-all-exp, 2022-05-03
BATCHES, exit, 2022-05-03
MAIN, batches, 2022-05-03
BATCHES, get-all-exp, 2022-05-03
BATCHES, exit, 2022-05-03
MAIN, stop, 2022-05-03
